WELL_NAME,GEOTECH_ACTION,START_DATE_FACT,END_DATE_FACT
5071be778488571551b2cfccc4171f6341f7cb896db00cd964a87039473a519e,ИДН,2020-12-09,2020-12-12
5071be778488571551b2cfccc4171f6341f7cb896db00cd964a87039473a519e,Из бурения,2020-08-23,2020-08-25
b46016a9f51850f24a47648424c0c5552981f1c31e59649e58f6c7de5535e8dc,Из бурения,2020-09-29,2020-12-20
5898096a4d17f6548ae81817ea5cfef598512f8149bed94f38bd4109808d7fd7,Из бурения,2020-06-19,2020-06-21
c1e839c9f969d7d4bcaf4532721305c9ce05aec71b32792e07ede1e14654338b,Из бурения,2020-05-26,2020-05-28
ccbbf3342add03620c79a84b4ff8552c08498fee5afb7faa38106d4c0ba695d9,Из бурения,2020-07-20,2020-07-23
963f26071368dd4e5422fd0c2a288ac757622ae9a9b6c09973d15c6bc1bcb989,Из бурения,2020-10-02,2020-12-20
53aa140cef9cc9bdcadfddc65d7dbfc4eb9659a7c1c5998a8ecee6edc99c1ee9,Из бурения,2020-06-02,2020-12-19
31b2d8ffcc7574565ca03565037d67461e5f080db826ed23b1c9497c390e1ae5,Из бурения,2020-05-09,2020-05-11
fd45ddf08c33013541f30ec69a8f2d47eafe879969a62fb2566b4c5545d18025,Из бурения,2020-11-07,2020-11-09
11818ffa8a040c855f1e4fcccf6dedd66275f58c48f4dc76d213f4aece817255,Из бурения,2020-11-09,2020-12-20
3ccc7deb310fe2e1ba800477edda46390606d6db0b49fbb1dbfaadae26370444,Из бурения,2020-03-24,2020-03-28
a1fdfd97bad28b10fd6df5efc4c2c4f9c7d69c022bc3747e88a32ec9c24e9241,Из бурения,2020-03-01,2020-03-16
394cc70face479aacba4fa45b1671504f3234fb3e98391c94ef0090078dee9dd,Из бурения,2020-04-08,2020-04-11
e4f5b96a7cb61cccca246b4bc76a9877e68af60c0e9ea4f8b02487478f00a7e9,Из бурения,2020-09-03,2020-12-19
3f173fbfdc2d718d9c430350d3c93ada920f46bbd74040743c03e7ae5af8ea39,Из бурения,2020-08-10,2020-12-19
e39764fd9868a49523c004212691bac957a6602849b3bbb3a93eba0d962d0b90,Из бурения,2020-01-30,2020-02-02
f36aa7f7643118b10f38ba06cdf33cd0a97f89c194b3811f8086ed8b2538fe6b,Из бурения,2020-02-14,2020-02-16
b705a65e0404edd49515054002d2f6aa6d91062dd493551e06410c79168396ca,Из бурения,2020-04-17,2020-04-20
91dc838b30c4e0943493df8257aef89319d2bada9fba1f16d041dbc108b798ed,Из бурения,2020-05-24,2020-05-26
f51d4aaaa559cc8141863e6bba13162f398ea9a84585271e0a56951a2e209e73,Из бурения,2020-01-02,2020-01-05
ec14eec2836e7d0a6b91b5e253f48d578fb6a51ae76f667ac97ca4f1365f622f,Из бурения,2020-03-11,2020-03-13
59b06784c461db3f5c27f87fa0ecb40090f9f2a6f3bf3a389cb96d55c17ec198,Из бурения,2020-03-29,2020-04-02
89fd611408286b0e777fcd4b41fec18f13e80473807ec2f299c2bc40275bc6c3,Из бурения,2020-05-30,2020-06-01
e33911efcf0beea45e3cef336db0f879190b1dbc34b73cd760505edd79a62f46,Из бурения,2020-08-29,2020-09-01
281a946a2708a500abc913f1ccf425fd57719a7248f0a45bebb16018556b6de7,ОПЗ,2020-06-15,2020-06-21
cb52169d181fda352ba466927f67d9b2523fbc88e43a18a70ee33a35611949e1,ИДН,2020-03-17,2020-03-20
1694c36be804d10225444d887e640d094e7217a1cbde20a50088866949e6fcd1,Из бурения,2020-08-07,2020-08-30
59e8ab92b257d0809933a49847143f08b2143d238856e8e0286530ea0f677637,ИДН,2020-10-04,2020-10-08
8a413fd5c3facf80b1f840e5ab25849f068d1662b8d6d344c5159d473ecdd318,ИДН,2020-02-11,2020-02-13
32d92d4de16c376a937973f407e8023fec571d3cdde25ae2393cbfde6c2b05cb,ГРП,2020-03-18,2020-04-04
581b756be4c559bb36767caeb2f5bb22e4b58d06a980d2293d0a634abac34305,Из бурения,2019-11-30,2019-12-31
0679bf5dd5913349a4834dcb84fca4ae65f7bea55b62c24cfde14d09677d6bec,ИДН,2020-01-10,2020-01-15
fa07c227692c1e41bb8ed4721811284dbefdb8de93e7b03b38586ba6568a6077,ОПЗ,2020-09-27,2020-10-01
6982222a335ea58104740ec6786a1dafdc71237fbb65d0fa341a15470252b5ba,Из бурения,2020-04-25,2020-05-02
10f93592eb3435b0a3e0f4b5aed1b04191519934fce0e49614cf8bacf5ed05d8,Из бурения,2020-04-28,2020-04-29
155caf4289a6429369a4d0723a61f1d96c438c9be4edf4ccdb044621dbb9c36c,Из бурения,2020-01-01,2020-01-03
839b8247fbf5f13e8eb7d41b3426d05d3f688efbdbfb348ecd12c8846b15b401,Из бурения,2020-03-19,2020-03-31
3116a6039c26cfd2994f50a1279244f6266972fd5f07071b896f5b5797be1b7d,Из бурения,2020-02-11,2020-02-14
02567341ea1c840299c4a0b74a8cd59dff5b1dd2af69ddd253c0938443317eb8,Из бурения,2020-01-22,2020-01-25
18ea8ca26bcabaac4fd073a00ba741a627f3649a6983a70745757f2ece17976e,Из бурения,2020-01-12,2020-01-14
139e20fe864acf1a4b831ac25d417fe70725cbee85197c7b18aef7b6e5a4c472,Из бурения,2020-12-17,2020-12-18
d76308ae4c084807ed4e71a7a1ea2367e92d2f88c10e88cbfb01c3a922a9bbdf,Из бурения,2020-12-15,2020-12-16
719e5af85187471a3ce2683ca943994591750c8ba24f19315af10c151937d5cd,Из бурения,2020-09-25,2020-09-27
283c6573f04c12245ecce798a1d213fbeb1353a48e5a9652ab89ebf9dd9ff691,Из бурения,2020-06-13,2020-08-08
f823c1065d42dc49303a1d4a300f405617696e821daa2959dd1e6d0e63c3ec5e,Из бурения,2020-05-29,2020-06-11
b125ff7a4750a36a783228f2769458ece77487d437c2898d3738e862eb5f0c59,Из бурения,2020-02-26,2020-03-27
a5743ee249e32d1a35357fea6c1677a043d28bd641b0bf5dda1c1512669e3ff4,Из бурения,2020-03-06,2020-03-25
dc43c12ac75358dfb570efcc6b027059cc5922fb60017459a912f2c33c318359,Из бурения,2020-03-27,2020-04-14
7a7ec077af8178c287c50c48276d782587a86a8b6180e9f85350db75113848f2,Из бурения,2020-07-24,2020-08-09
28cd283dfe0b7463bf39f251656f2c78a0b2dc189dbeec7b26b88cd7eda6fac1,Из бурения,2020-05-20,2020-08-09
6e569cbbf75538ea9f3b7b26d8453ea8e9249955080bc3fa24cd3c1d06c0a4e2,ИДН,2020-10-05,2020-10-10
6e569cbbf75538ea9f3b7b26d8453ea8e9249955080bc3fa24cd3c1d06c0a4e2,Из бурения,2020-06-14,2020-06-28
4f22b35202b9f0fc9914ca56c45ea412acb548e3fbcf99c499fae903e8d215a4,Из бурения,2020-11-05,2020-11-07
7a202edef2d504c3b3b43ac3c72680ac2dbf089480cc1cf6a6a32f08fdf78d10,Из бурения,2020-01-15,2020-03-10
ffb0f5dff951c9abd3cd1bf27d21b5b02a742dd74f248999ca0fcdda7af660b9,ИДН,2020-10-29,2020-11-06
ffb0f5dff951c9abd3cd1bf27d21b5b02a742dd74f248999ca0fcdda7af660b9,Из бурения,2020-06-10,2020-06-28
11d91ac827a9616e173cc11be3ea239d08a502a5b3b68c9ac98beb3de19675da,Из бурения,2020-05-30,2020-06-13
be6e4c2a51c68e67cf0e57ca310c5f85eebcc6ffc4be416e549aff41da6667ee,Из бурения,2020-05-31,2020-06-14
37a7adfb38b7f511d63cd78ddcce373a73fb91918292e2f99a9c65f19b75074a,ИДН,2020-09-12,2020-09-18
37a7adfb38b7f511d63cd78ddcce373a73fb91918292e2f99a9c65f19b75074a,Из бурения,2020-05-28,2020-06-10
404ed1f58f11fc57a7e19f2021ae033034fe81fd5d2d82a9c03fbb1599643602,Из бурения,2020-08-11,2020-08-14
f9c1cc9795cf5468807b48a5a7fdf0ae95333df76bb253ac24a2c4a3f9b4233a,Из бурения,2020-11-15,2020-12-06
1735fd1f01c743f26baf46ee02fc91f75e88049dd31ef592b1cb063cc8cd9b10,Из бурения,2020-09-10,2020-09-12
86ba908c9dd7b9b9fb22e8320efaf4238e02037f1516a6b718067e4cbce576bb,Из бурения,2020-04-29,2020-08-09
c441837ec36594631d80511ddffc22a24fa4e5d1918af1be69eadff34104a1b0,Из бурения,2020-10-11,2020-10-13
02bb7b54e10b23014bac606ecda166a189d529d8f3e570892e8f0980e6721210,Из бурения,2020-01-17,2020-02-25
4b6f68dcc7adb2441ef2f82f8e68178c35561afb54c16f07dc55b9bba4316bda,Из бурения,2020-07-27,2020-08-19
23c45c20b098837e4dc8a74cd40bf7595e430bac36bd3c2ce88e21868afe973d,Из бурения,2020-08-27,2020-08-29
334fb1f5b2a5c3298650bf7007b89d97b402edcf9c36ce8d5790992f8086f723,Из бурения,2020-10-27,2020-11-25
5106d698d9fba796b3d03364dd9d1d86b88b8d75700b29554d3f09d414ab307a,Из бурения,2020-11-10,2020-12-10
c8bc2c9d76b8bcba19882cefd5cdb8def5447fb1ad4ce4d5fcaf00f017792b4b,Из бурения,2020-07-02,2020-07-26
067468377b3cf69697d91de11e79d036135ceff0a601655e9f5c78bda3818b9c,Из бурения,2020-06-29,2020-07-02
9c7f0dead89728a06217b4b5f13eb75c1785de66685855bc5c2e8401642ec9d7,Из бурения,2020-06-25,2020-06-27
4cfbcbe355901faf9d4611dd1b07d2eccbbf8e48532c00628aa8624986cd8acf,Из бурения,2020-06-29,2020-07-21
103abd022cbe2bc01053f6078a6c62904228f37fde5cc991c78a0b51f6159b8a,Из бурения,2020-05-22,2020-05-24
0e6a2c5e8a6f4117d44600390ae7017661c82c1e976c32e2499edc5e7e51fa65,Из бурения,2020-08-06,2020-08-09
c6e7c6d7258e10bf9b4d92bad3ad69d66919b2300b4623af26062b8f3f1d2e3f,Из бурения,2020-03-23,2020-03-26
1719a6555fd6c2762294bf0931fd5a714d94cb1ee9580af2ef1e8c682c3caf90,Из бурения,2020-06-27,2020-06-29
12bf58e3a074291112737d8b6f8df0603ba4ce99a54deb08dad34684be23424b,Из бурения,2020-04-22,2020-04-27
ded70a86923c88f734b56531efa2de91cb72d6956611a2c22425edaf59decd43,Из бурения,2020-09-18,2020-10-16
17b7d2506d995e47e646e415402993eacae5349b8e2145be58ed056527664611,Из бурения,2020-07-22,2020-08-04
ce5543303ddebcdd29030327bb145f12c1c5cd6d011645c3cbdc4dc5960ecc67,Из бурения,2020-12-12,2020-12-15
02982b2ae87e795a08e5dca0a95cb0edfc7d97fdc299198d42e4f89d25b7bd5e,Переходы и приобщения,2020-03-02,2020-03-26
7149200f79fa47cb9775f2e652ef7c217ac4988ad9828be5b6dd0dfebcf54640,ОПЗ,2020-11-21,2020-11-29
7149200f79fa47cb9775f2e652ef7c217ac4988ad9828be5b6dd0dfebcf54640,Переходы и приобщения,2020-01-28,2020-02-12
86d7afe2f9f7aa3f83ee3c131a70635081fea2b6213a1a1a3f99a1273b2ba26d,ИДН,2020-11-04,2020-11-06
86d7afe2f9f7aa3f83ee3c131a70635081fea2b6213a1a1a3f99a1273b2ba26d,Из бурения,2020-04-10,2020-04-18
e4c94a92dbcc5f61d739e3fad7b235e3e1939b6a5db47d42740943207cf562aa,ИДН,2020-10-26,2020-10-29
e4c94a92dbcc5f61d739e3fad7b235e3e1939b6a5db47d42740943207cf562aa,Из бурения,2020-06-29,2020-07-22
b43363f801443390a596a5f2a42e313a46d6e4c296dcace2846c0566e76765cc,Из бурения,2020-06-12,2020-06-14
dd6b04a9751c88cff0790765eaf0a7b1b957a8af34f57333f55c5f10ea737388,Из бурения,2020-08-18,2020-09-05
39979a0958c16790f31a1dfb7552680008fd5dce7f302c060c23a5b9f5b19c65,Из бурения,2020-12-03,2020-12-11
7d47b83d3b44cb250d8233e499dfea592cdf4446d69ff3f71ccf5cb5ac9e86fb,Из бурения,2020-04-27,2020-04-29
47db0465f85e2090a08d46bed6457ea618132b53ec3f99b07220b6d36501e781,ИДН,2020-02-14,2020-02-17
64414446b13d6db16c4b303fa83cd66f6d27656c78bae6a85d5900c45f8d1631,Из др.фонд,2020-01-17,2020-01-17
b73b31a072ee23048cd5013d9877ecb4944f822c850aeeda8057346e9455b9a7,Перевод в ППД,2021-10-13,2021-10-19
55d3f72fc6d0bb13e58ea47c4df6dac00d3128ab6082755e83927534d13c0b56,Перевод в ППД,2021-04-26,2021-05-03
353a445a948ac015ab93b08fc6e508e717e3d212c779d062cd500c889ef46e95,Перевод в ППД,2021-06-27,2021-07-02
578d7f85bc474022aa655e7f4c75596845eda3a10c5428ad573376ceb9e8ec99,Перевод в ППД,2021-03-25,2021-03-31
94f2e6014d6be25e8d8d3e3ab710d0f599c4abe4c0495efb13a94d4e9cd5a440,Перевод в ППД,2021-05-16,2021-05-22
fc6ba4b32bc4a8f30f1d7d1000170225c279271a08ea2217a5a4de78bd9bb146,Перевод в ППД,2021-06-09,2021-06-16
4703c6cefa8c48c5083a9291c40d98cf353aef281e9913d9d5f042a58c5cddcc,Перевод в ППД,2021-07-20,2021-07-25
5898096a4d17f6548ae81817ea5cfef598512f8149bed94f38bd4109808d7fd7,Перевод в ППД,2021-01-27,2021-02-01
a1fdfd97bad28b10fd6df5efc4c2c4f9c7d69c022bc3747e88a32ec9c24e9241,Перевод в ППД,2021-04-27,2021-05-02
394cc70face479aacba4fa45b1671504f3234fb3e98391c94ef0090078dee9dd,Перевод в ППД,2021-02-05,2021-02-10
845f4f6c05ef56b78d11bee340de16ebe4d89133733170db3566d168373bb20b,Перевод в ППД,2021-08-09,2021-08-13
281a946a2708a500abc913f1ccf425fd57719a7248f0a45bebb16018556b6de7,Перевод в ППД,2021-06-19,2021-06-24
839b8247fbf5f13e8eb7d41b3426d05d3f688efbdbfb348ecd12c8846b15b401,Перевод в ППД,2020-12-31,2021-01-08
ec14eec2836e7d0a6b91b5e253f48d578fb6a51ae76f667ac97ca4f1365f622f,Перевод в ППД,2020-10-18,2020-10-23
a28baa1caf99ec3d7039a201e68b1288834bba1878b004e04691ef4cefbea0fa,Перевод в ППД,2020-12-21,2020-12-29
3174f5c73134416952c697ea74f70d3e092b5cfd261ca918d7f8c286e2c0db02,Перевод в ППД,2020-04-22,2020-04-27
c1e839c9f969d7d4bcaf4532721305c9ce05aec71b32792e07ede1e14654338b,Перевод в ППД,2020-09-13,2020-09-16
ccbbf3342add03620c79a84b4ff8552c08498fee5afb7faa38106d4c0ba695d9,Перевод в ППД,2020-12-10,2020-12-15
59b06784c461db3f5c27f87fa0ecb40090f9f2a6f3bf3a389cb96d55c17ec198,Перевод в ППД,2020-06-14,2020-06-19
1aca2a31817fa92bb9b0792f20d8eb806b1cb56fd2d112cf34879496b8279bf5,Перевод в ППД,2020-03-25,2020-03-29
9962e54aa392e3ca2644e05433017c78b93d8bfbe80d5fa9196b69856f228cb6,Перевод в ППД,2020-08-01,2020-12-23
86ea1e0aff641ba662576afb06dd5d9592e458edf29b0d96544dfb6a7f20d32c,КРС,2020-10-10,2020-10-17
79de04594d8ba7c9aa72af9c6ed3d2615dfe77be05627773045b805a0eef9dbe,Перевод в ППД,2020-12-09,2020-12-15
6edd6dcabee2253639e6e8e83003c8790859a9f1374a2889c44ac633baca04c5,КРС,2020-08-23,2020-08-30
830657320ee51a9a8827be939bdc9fd917401c69a6ebe011ceeb66ec77b05f39,Перевод в ППД,2020-03-24,2020-03-30
830657320ee51a9a8827be939bdc9fd917401c69a6ebe011ceeb66ec77b05f39,КРС,2020-08-01,2020-08-06
488e60d7575cbd8757674c7e03a8a736a90a5d1245a4ce03375c26702d7a209b,Перевод в ППД,2020-04-22,2020-04-27
ddbb98909520ea7644939284ef04b070a912ccf50c14b08efd50498345567b7d,Перевод в ППД,2020-03-08,2020-03-14
ddbb98909520ea7644939284ef04b070a912ccf50c14b08efd50498345567b7d,КРС,2020-08-13,2020-08-20
dadd88a35b99b991934b98efbf5eb4b0364cb3a05ef20a577329d3ae5a4aa81c,Перевод в ППД,2020-02-02,2020-02-08
60b278acc0b6cad778ece89b16dc6014548ae6232eeb0a2bee0b8650b122ee77,Перевод в ППД,2020-03-14,2020-03-18
10f93592eb3435b0a3e0f4b5aed1b04191519934fce0e49614cf8bacf5ed05d8,Перевод в ППД,2020-09-21,2020-09-25
9eaa0664a8a574201d8d390569096196766ca76e3203f623a8a76d1085ead0aa,Перевод в ППД,2020-08-16,2020-08-22
155caf4289a6429369a4d0723a61f1d96c438c9be4edf4ccdb044621dbb9c36c,Перевод в ППД,2020-12-15,2020-12-21
3116a6039c26cfd2994f50a1279244f6266972fd5f07071b896f5b5797be1b7d,Перевод в ППД,2020-05-12,2020-05-18
02567341ea1c840299c4a0b74a8cd59dff5b1dd2af69ddd253c0938443317eb8,Перевод в ППД,2020-08-19,2020-08-23
cb9891b52b15cf1707933d8b826ba577d62c7db0b737c2d93dc16f872bdd15d4,КРС,2020-09-05,2020-09-10
e2c65a3722c78f0e9f3e89a1b00b04a57427086732d2d333b333297b7d54c6e0,КРС,2020-10-17,2020-10-24
7a7ec077af8178c287c50c48276d782587a86a8b6180e9f85350db75113848f2,Перевод в ППД,2020-11-18,2020-11-24
28cd283dfe0b7463bf39f251656f2c78a0b2dc189dbeec7b26b88cd7eda6fac1,Перевод в ППД,2020-10-13,2020-10-18
23c45c20b098837e4dc8a74cd40bf7595e430bac36bd3c2ce88e21868afe973d,Перевод в ППД,2020-12-22,2020-12-30
eaea26c0c41d07d715d5068628047ad723015a809a73c76b64e7b95018543141,Из бурения,2018-06-10,2018-07-22
96184ceab9c321bafb53b5e1c71df538d5435024098682fa1569003cafd35d22,Из бурения,2018-01-02,2018-02-06
9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,Из бурения,2018-04-11,2018-04-13
debcf7a160692239563af8a9c8ba32c4ba067e747f19c8073055e2be5aeb4022,Из бурения,2018-07-04,2018-07-06
8550eb204ff6ffb9fb0ccc399372965ebccdfab7c37927bca29bcd45a4029a0b,Из бурения,2018-06-05,2018-06-10
281a946a2708a500abc913f1ccf425fd57719a7248f0a45bebb16018556b6de7,Из бурения,2018-06-18,2018-06-21
c0e2250cbb238bcf8d8925c1361942a24224250da0005ee75e9fa9f44c4a8038,Из бурения,2018-03-13,2018-03-15
1aca2a31817fa92bb9b0792f20d8eb806b1cb56fd2d112cf34879496b8279bf5,Из бурения,2018-06-17,2018-06-20
9962e54aa392e3ca2644e05433017c78b93d8bfbe80d5fa9196b69856f228cb6,ИДН,2018-03-24,2018-03-29
10d49b5fa61178ffad5d43e493be05a9336f2c2281e197b50b3cd2e783e2099e,ИДН,2018-08-22,2018-08-26
774ac42ad9e76f30cdf3674a60ca0d22a13f1004503fbfacb7adfc1092428290,ИДН,2018-08-26,2018-09-05
774ac42ad9e76f30cdf3674a60ca0d22a13f1004503fbfacb7adfc1092428290,Из бурения,2018-06-07,2018-08-14
1eb07c4586cc77e19751ded1e791e9a79e75c5390a8327a306cca8bd18642ae4,Из бурения,2018-01-07,2018-01-12
79de04594d8ba7c9aa72af9c6ed3d2615dfe77be05627773045b805a0eef9dbe,Из бурения,2018-09-10,2018-09-12
6773a737f9bf98865072e3f4937e9433921438681eae84746796b53ddf977048,Из бурения,2018-04-13,2018-04-16
59e8ab92b257d0809933a49847143f08b2143d238856e8e0286530ea0f677637,Из бурения,2018-08-08,2018-08-28
7687f20faa1aee38a6beec0cb63d9094563f278304210b3118e6a6671cf8d34d,Из бурения,2018-09-01,2018-09-04
8a7082479cad6c4a3ce75e82cd9a508b2199f5abab971c0006d0dcd95693a1b2,Из бурения,2018-04-07,2018-04-11
8a413fd5c3facf80b1f840e5ab25849f068d1662b8d6d344c5159d473ecdd318,Из бурения,2018-01-02,2018-01-05
5229c22a25eca7d2de860400dbc7e76e49b18dfcecea04998c034663d0a53c35,ИДН,2018-12-08,2018-12-11
32d92d4de16c376a937973f407e8023fec571d3cdde25ae2393cbfde6c2b05cb,Из бурения,2018-07-31,2018-08-30
6edd6dcabee2253639e6e8e83003c8790859a9f1374a2889c44ac633baca04c5,Из бурения,2018-06-06,2018-06-09
7a8c71da43226a0b4b00ed66a5deb690eed82269dfc7c3f38c611143ce7e3970,Из бурения,2018-04-11,2018-04-14
a1661d2f54d25c16b8b3616d6683118d3c2f10b1af3968a05bbeb36f0d8dc5b0,Из бурения,2018-06-21,2018-06-28
0679bf5dd5913349a4834dcb84fca4ae65f7bea55b62c24cfde14d09677d6bec,Из бурения,2018-08-30,2018-11-05
bfcd4d42ffe4cdf361ba1acb0d4abd6c16b2f209f269f7be2f1279d93f37e0e9,Из бурения,2018-05-02,2018-05-09
9d948a85174b17247aeecd71971bf923ebf6253f22c882fce81edf0ba9592b4b,Из бурения,2018-06-16,2018-06-18
06252c150957a6ca28111b094eb923bfa74d2a66928655e9cb7cb671ed159ecf,Из бурения,2018-05-19,2018-05-22
85c5a0da634b2e3d596f033ad749a0c4f4a18a9278e7fb35344055e59f1831ad,Из бурения,2017-11-04,2018-01-17
2b57ed0b02a2bcf2fb38de86c6d691242f790a9982245600afe86d8ee0834d01,Из бурения,2018-06-29,2018-07-25
488e60d7575cbd8757674c7e03a8a736a90a5d1245a4ce03375c26702d7a209b,Из бурения,2018-05-26,2018-05-30
543a7f83bf99de49c1a58c49f1c274ae283a159dbbc74aea922a349e1850ca63,Из бурения,2018-06-07,2018-08-19
f3df405f4494caf8f869e0c30a842448f92837c21f24f178f8d5cf533b372c68,Из бурения,2018-09-10,2018-10-02
e2c65a3722c78f0e9f3e89a1b00b04a57427086732d2d333b333297b7d54c6e0,Из бурения,2018-01-11,2018-02-17
42b038fe65f564902f2ba6c01df165599435d16c536c082c08b7ba0c2203c7f8,Из бурения,2018-04-25,2018-05-26
e19331bdf30e35b29c747db0c828bf630b4e99043f5e5d53c3ccf3dee4f45370,Из бурения,2018-01-27,2018-01-30
47db0465f85e2090a08d46bed6457ea618132b53ec3f99b07220b6d36501e781,Из бурения,2018-01-30,2018-02-01
769384f0a6fe5cba75fc68a9e52395eb9b69fa8dab849ef795694a92183121c9,Из бурения,2018-09-08,2018-09-10
b73b31a072ee23048cd5013d9877ecb4944f822c850aeeda8057346e9455b9a7,Из бурения,2018-02-01,2018-02-04
879329a0f238b019636f868a76bcbca2114b2b4135938f05efd60a12e6a79a2b,Из бурения,2018-03-21,2018-03-25
651bac31ecd7481191fe955d1a10b423c06ca674dfa57f3fab2c642a23ff9622,Перевод в ППД,2018-02-06,2018-02-23
9b9b0ff1fdc0bc79f04f8b516bdf3320e9db158cba96be19d378a4d73c13e226,Перевод в ППД,2018-02-17,2018-02-20
ab9661f4f673fd4764fcd8192bcf57e739b096cface0e158dec656313f510a79,Перевод в ППД,2018-01-14,2018-01-19
eaea26c0c41d07d715d5068628047ad723015a809a73c76b64e7b95018543141,Перевод в ППД,2018-09-06,2018-09-14
c5fc9d8f99de3d3df001fda04e67e7609e947acb6ab158bb148e7215a8e959b7,Перевод в ППД,2018-04-23,2018-05-27
ca641953f4d68c9025c4810b980bd73aaa5db1200d2fd78fd417fd9977012455,Перевод в ППД,2018-09-02,2018-09-06
6edd6dcabee2253639e6e8e83003c8790859a9f1374a2889c44ac633baca04c5,Перевод в ППД,2018-08-16,2018-08-23
b655e6c87f4353bf1519bf34bd3ccea09ed176edf9cf3919e84441791824023a,Перевод в ППД,2018-02-17,2018-02-19
